platform,topic,content,toxic,toxic_one_hot,toxic_type,toxic_type_one_hot,expression,expression_one_hot,target,length,num_attacked
zhihu,race,现在大多数中国女性是整个国家的负担,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",17,1
tieba,gender,负1赞，看来楼主又刺激到某些人咯！,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",17,0
tieba,gender,看到没，这就是龟男舔狗养出来的,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",15,1
tieba,gender,怀疑是故意逼你离婚好分家产当然我是怀疑楼主别介意,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",24,0
zhihu,race,有艾滋啊，比瑶姐还脏啊…,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 1, 0]",12,2
zhihu,race,但答主喷人也不违法，被喷到的人如果觉得侵犯了自己睡黑人的合法权利，或侵犯了睡黑人的自己的名誉权，可向人民法院提起诉讼。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",59,1
tieba,gender,四年级的时候我就问过我妈为啥男女平等还会有女士优先这句话出现[表情]四年级的幼年拳皇差点被班主任扼杀在摇篮[表情]不过我挺住了现在依旧站在打拳第一线！,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",75,1
zhihu,race,我记得有本书叫重生之黑人留学生,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",15,0
tieba,gender,郭女颜值不高，又不肯去做性价比高的整容，化妆邪术毁皮肤，卸妆如同恐怖片。我是佩服成天郭女推土机为荣的，牙口真好,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",55,1
zhihu,race,你接么？反正我不接,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
zhihu,region,楼上就有一个感觉他们两广被黑了，很委屈。然后黑河南就觉得大家只是玩梗~玩梗～还要劝河南人别玩不起🙄,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",52,1
zhihu,region,真没人黑天津吧🤔,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
tieba,race,楼主说的那种东西真是不言而喻当然指的就是虫族,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",22,1
zhihu,race,太真实了。这个才像是真正在现实生活中经历过的人。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",24,0
zhihu,lgbt,我不讨厌哦，我之前根本没这个概念。后来因为喜欢张国荣慢慢了解到这个圈子，但一点都没惊讶，就觉得是很自然的事情，我自己都觉得奇怪～,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",64,0
zhihu,race,白美黑丑？？？拧这歧视多严重。我不说人的肤色，我说的是颜色本身。天为阳，地为阴，阴就是黑色，阴为女性。黑丑的思想在这儿就是女性丑。为什么黑就是丑呢？为什么男就是白呢？呵呵。,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 0, 1, 0, 0]",86,1
zhihu,region,竟然让天津给跑了？？？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
tieba,gender,所以你们理解错误了嘛DNA不是你。你不是DNA。你死了DNA也只是复制而已。肉体本身只是DNA产生的产品，但不是DNA自己啊。肉体会死。至于宏观上人类想要活下去，但一定会死。所以寄托幻想认为复制基因可以永生。大可不必如此的。因为人生只有一次啊。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",122,0
zhihu,region,另外想补充一点，香和台被黑其实也不冤。想想这几十年来内地被黑了多少。我们从小看的TVb，电影，随便扒扒都有一箩筐。特别是香的粤语原声电影😅这几年新闻自由，港台不好的一面我们都能看到，想想内地人民地域黑早已进入了固化阶段，没有了新意。突然来个新的港台，那怎能不兴奋一阵？前年的事件更是将黑港台从发展阶段进入到了成熟阶段，达到了巅峰。看几年前打出的旗子，尚可理解为内部矛盾。但当满机场飘扬的盎克鲁撒克逊民族的旗子，实在是让人恶心。,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",216,1
zhihu,region,这不是很正常么，你自己评论也不这么说的么？这操作溜,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",25,0
zhihu,race,然而很多韩国女，在外和黑人睡，睡完说自己是中国人🤭🤭🤭，有中国游客去印尼玩，晚上去小吃街，有两个亚裔女性乱扔垃圾，游客上去制止，女的回她一句我是中国人。游客就试图用中文和她们对话，结果发现是韩国人。反正我长这么大，什么就没有见过媚黑的人，不仅不媚黑，我本人只能接受江浙沪一代的男性，超过这个地区，我管你是不是中国人，我都不接受。我只是不喜欢差异太大的人，就这样。跟别说外国人，难道不觉得白人或者黑人体味很大吗？我连有轻微的狐臭的人都接受不了。🤭,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 1, 1, 1, 0, 0]",234,3
zhihu,race,一个一年补贴二十万，羡慕啊😅,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",17,0
tieba,race,图沙黑蛆是人类未来大势所趋,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",13,1
zhihu,race,😅我也实在不明白，有些人玩个游戏都要捏个光头黑人。,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",28,1
zhihu,race,民族团结大过天,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
zhihu,race,那是女拳，我已经在评论区说过了，极端男拳女拳都是烧饼,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",26,1
zhihu,race,我觉得吧只要是遇到对的人，对方也优秀，问题不大(黑人除外,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",28,1
zhihu,region,近两年“正黄旗大妈，外地人到北京就是孙子，上海绕口令大姐，上海地铁大妈等等。。”这都是民族和谐统一的绊脚石！民族大团结，不应该出现美帝的“种族歧视”！我们要反思！我们要抵制！谁要是排外我们就一起排斥他！中华人民共和国是一个大家庭！不可以搞不团结的事情！,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",126,1
zhihu,region,众所周知，南昌是个很文明的地方，对的，就是众所周知…,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",26,0
tieba,race,看到这种新闻真高兴,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
zhihu,race,不喜欢黑人是正常的，很久以前连匈奴人都无法接受，不说还是皮肤颜色等外观与本民族迥异的外族了。中国不欠黑人什么，中国自古以来并没有黑人这个民族，更没有类似美国黑奴引进的历史，所以也不存在歧视黑人这个说法，只是正常的排外罢了，不仅排斥黑人，也排斥白人等异族。古时有句话，非我族类，其心必异，当中华民族势微的时候，恶果就会显现出来，君不见五胡乱华？,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",171,1
zhihu,region,我想回个嘿嘿嘿嘿。。。感觉好押韵,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",16,0
tieba,gender,笑死我了，这博主刚说怎么这些男的这都能破防啊？然后评论区同样的文章只换了一个字，她的女粉纷纷破防，这真是本年度最精彩的笑话了，打脸啪啪啪啪响，哈哈哈哈哈,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",76,1
zhihu,lgbt,？？？你在说什么啊？？？你们同性恋不是真爱吗？？？怎么能出轨呢？？？,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]",34,1
tieba,race,前一阵子有几个拿学历说事的喷我，说我不用写作业不上学是文盲辍学者。我寻思着这个社会上还在上学的才是少数吧。,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 0, 0, 1, 0]",53,1
zhihu,region,好 不和牛马一般见识🐶,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",16,0
tieba,gender,妥妥的钓鱼理她干嘛,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
tieba,race,不需要注意，反正系统也会删,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",13,0
tieba,race,这是个杂碎,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",5,0
tieba,gender,关键是黄精灵是真的摘不到蓝精灵一样多的果子啊,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",22,0
zhihu,race,自己得不到，也不想让别人得到，这是人性啊。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",21,0
zhihu,race,说中了，急了🤣,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
zhihu,region,因为非粤北的广东人更有钱😠,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",16,0
tieba,gender,还理性讨论，还自由？扯。我就说了三从四德是糟粕，反女权不要抗旧社会大旗，立马骂我并禁言了,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]",44,1
zhihu,region,这算啥，他们几个人就能接手火神山医院,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",18,0
zhihu,race,那你这些闺蜜室友要是有个黑人老公，50%艾滋病概率，你还敢继续相处吗？,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",35,1
tieba,lgbt,精神分裂是吧,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",6,0
zhihu,race,你这每个字中间加个点看的人头都是晕的，想让大家看明白，建议你去掉那个点。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",36,0
tieba,race,由此可见，血性是多么重要的一个东西。现在成天宣传什么友好，友好是双方面的，单方面的示好叫归添，不是友好。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",52,0
zhihu,race,发现盲点了嗷,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",6,0
tieba,race,这个吧有专门的QQ群吗？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",12,0
tieba,gender,看见杨笠这司马脸就觉得恶心,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",13,1
tieba,gender,然而我举报了，竟然说不足于封吧的地步！继续让她们闹吧！到时候都摆烂了，铁拳就知道后悔,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",42,1
zhihu,lgbt,😆说得很对 你可以讨厌但是去辱骂和攻击他人就是没素质,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",29,0
zhihu,region,在上海，最被歧视的是上海人,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",13,1
tieba,gender,冲自己金主？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",6,0
tieba,gender,只要大家都敢拿前途来捍卫下一代男性的应有权利而去qj亩人，亩人除了怕，根本反抗不了。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",42,1
zhihu,race,国内比不上国外？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
tieba,race,大家把我帖子多宣传，我们开发出可以使黑人的古龙水发臭的东西在黑人聚集地发散开，或者给中国女人们使用或者佩戴，保证黑人们一个都混不下去。,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",67,1
zhihu,region,有本事别匿名 让大家看看你是哪的😆,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",20,0
tieba,race,好人与坏人有绝对界限吗？其实没有，只有立场，站在我们种族的立场，黑叔叔移民入侵破坏我们种族的单一性，就是敌人。不管他是不是好人。物种竞争本就只有立场，白王军在他妈妈眼中他也是个好孩子。但是我们眼中就是敌人。因为立场。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",108,1
tieba,race,最后哀求时这可怜啊，进去抢劫时你想什么来着。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",22,0
tieba,lgbt,这文字才是带脑子的,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
tieba,lgbt,同性恋有害健康，吃狗肉有益健康，禁止同性恋，支持吃狗肉！,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",28,1
zhihu,lgbt,1.刚才在讨论的是你厌恶同是不是天生的，我即使证明同是天生的，也和你厌恶同是不是天生这个问题没有因果关系。2.“先天”这个概念有很多，“从娘胎里就有的”、“基因决定的”“不被社会等人为因素操控的”“自然的”……这些都是“天生”。,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]",114,1
zhihu,race,这么做有啥好处呢？你给解释一下我不明白,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",19,0
zhihu,race,你的截图说的很有道理,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
tieba,gender,韩国不也一样？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
tieba,gender,姆搐什么猎奇,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",6,1
zhihu,race,韦小宝他妈都不接洋鬼子,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",11,1
tieba,gender,说的这么新奇，好了，我宣布，田园女拳有滥交的自由,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",24,1
zhihu,race,🤣🤣🤣🤣🤣🤣🤣🤣强行吹,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",43,0
zhihu,race,你说的对，不过数量相比仍旧是少数。 不过举报三非 我赞成。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",29,1
tieba,gender,抖音b站微博一丘之路,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",10,1
tieba,gender,这……确实挺可爱啊，从面相来说就比那些奇形怪状的女拳生物和善多了，而且人家也没什么错吧，恶意攻击不可取，别真和微博一样了,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",60,1
tieba,gender,我女的想法和你一样我也厌女,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",13,1
tieba,gender,舔狗让他死就行了，杀鸡儆猴么，一个舔狗不死，其他舔狗怎么觉醒？,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",31,1
tieba,gender,如果你已经不会听风就是雨，那么说明你成熟了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",21,0
tieba,gender,我一直厌女但这样的话太直接了只要表现出自己一点厌女就会被女的集火攻击不管上到40多还是下到13~4的那种逮着你就咬一点人简乐趣都体验不到后来我就隐藏了起来比如搞妞妹儿的时候我什么也不表现后来我就又成了她们嘴里的老（渣）鼠（男）人呜呜呜呜呜,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",119,1
zhihu,region,是真的排外，他们只是有礼貌，很多人内心深处还是排外，看不起外地来的人，最开始我刚来上海上学的时候也是觉得上海并不排外，但是和上海人做朋友之后恋爱之后才明白，即是那些上海的成功人士和富贵人家，内心深处还是排外，只是用素养包裹住歧视的内心，真的熟了之后他们就会开始直接说出歧视的话，说完之后加上一句不包括你😅😅😅,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",163,1
zhihu,race,。。对非洲女性怎么下得去手😅,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",17,0
zhihu,race,可惜真正嫁出去的绝大部分找到都是外国瘪三和老头子。任何民族的精英男性都不会考虑外国人，你见过中国的精英男找外国女的吗？是他们没能力找吗？,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",68,2
zhihu,race,你老公要是知道，估计要恶心你一辈子😄,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",21,1
tieba,gender,滴滴司机请不要接单身女性的订单！为了自身的安全！,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",24,1
zhihu,lgbt,说得很对！赞！很中肯的评价,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",13,0
zhihu,race,你想多了，没那么重要的😅,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",15,0
tieba,gender,一直就有大把女人反对女拳，现实中女拳并不多，大多混迹在网络,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",29,0
zhihu,region,乡后宁，到上海，上海含窝港佛来，咪西咪西七含菜，咪西咪西七含菜,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",31,0
zhihu,race,观点不反对，但是论据有问题。你发的这个文章和世界女权没有任何关系，作者都是个华裔,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",40,0
zhihu,region,祖籍东北？我认识的怎么都是祖上从河南往东北跑的，兄弟你这样的真是少见。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",35,0
tieba,gender,真的现在女权生亩媾横行,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",11,1
tieba,gender,女人说：“换了本仙女就不可能找到更好的了”。男人说：“这是编出来给🐢男心理安慰，好让🐢男去舔去接盘的”。,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]",52,1
zhihu,race,觉得有人故意，然而这小傻瓜还不自知，一个个沉浸在愤怒的高潮中无法自拔😅,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",38,0
zhihu,region,祖籍河南宁夏人，从小就被叫河南蛋，河南大裤裆之类😢,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",28,1
zhihu,lgbt,我恶心的是有些同性恋以为全世界都是同性恋，无底线的试探自己喜欢的同性，超级恶心！,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",40,1
zhihu,region,我们班的上海人都是拿鼻孔看人的（生理意义上） 别的省份和别的省份玩的到一起 上海人永远只和上海人玩,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",49,1
zhihu,region,那都是南满编的，你如果把南满当成人那是你的认知错误，南满不是人，南满是满子,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]",37,1
zhihu,race,生活压抑，网络上发泄发泄，面对面大家都保持礼貌，隔着屏幕都放纵自己，觉得不合适的言论不在乎就好，太在意网络大家都得抑郁😅,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",63,0
zhihu,race,朒字很容易被看混为腩字，下次用钕字。你这样写，我四十米的长刀很难收住呀🐮,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",39,1
zhihu,region,其实东夷也算是铸造华夏族的重要一部分，和剩下三个多少还是有差别的,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",32,0
zhihu,lgbt,这个观点我太认可了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
tieba,gender,这幕刃说的点都错了，彩礼不是家庭经济行为，是古代的礼法。而且劳动力就是商品，涨工资是为我的劳动力需要相应的报酬，是我光明正大赚来的钱，怎么是物化？彩礼女人只卖卖o就OK了,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",85,1
zhihu,lgbt,对呀，那你干嘛什么都推到同性恋身上呢？,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]",19,1
zhihu,region,河南井盖新疆切糕这俩算是最初成体系的地域黑了吧，之后就是东北，现在有点往山东来的意思了,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",43,1
zhihu,race,你男的女的？回答全离不开“国男”两个字，这就纯粹故意引战啊,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]",29,1
tieba,gender,赞同你的观点，男性不团结，四处都能看到雄竞现象，是我最不希望的，我主张韩国极端男权的5b4t以及boy help boy,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",60,1
zhihu,race,爱情不分国界，爱情不分种族，爱情不分年龄，爱情不分性别……再过几天，爱情不分物种爱情真伟大，爱情真可怜，什么都往里装,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 1, 1, 0, 0]",58,3
zhihu,race,我们对黑人（功成名就的不算）的看法，不就和以前欧美对亚裔的看法一样吗？都当对方低人一等，有各种各样的毛病。大体感觉就是较落后的地方来的乡巴佬，能配上自己？,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 1, 0, 1, 0, 0]",77,2
zhihu,lgbt,我是同性恋 从小都是 我也能理解别人对我们的不理解,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]",25,1
tieba,gender,你这是打拳吗？不是，你这是在追求男女平等。,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",21,1
tieba,gender,兄啊，这澡可不兴洗啊,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
zhihu,region,好家伙，间接黑了一波北京（玩笑）,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",16,1
tieba,gender,所以别恋爱不就完事了？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
tieba,gender,守住最后的贴吧,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
zhihu,race,每一个黑人的居留都是一粒黑色的种子，撒如我华夏大地便如鱼得水，看似微不足道却不可小觑，来势不息连绵不绝10年20年50年后呢？有一天法国那样的人种构成悲剧就会成为锐不可当之势横扫中国这片我们繁衍生息了7000年的古老大地，真如此的悲剧到来后人必会骂今时代的无所作为者姑息纵容者！防范黑人的人种侵入必须像防范洪水猛兽一般的重视甚至要有过之而无不及！蝼蚁之穴溃堤千里不要因其初步的微小而漫不经心无关痛痒！！防微杜渐未雨绸缪绝不姑息！中国这片我们民族繁衍生息的土地绝不能成为黑人特别是非洲黑人向往的人生乐园！！！作者为大！我认同您的观点！大家必须团结起来共同驱逐人形黑猩猩出中国！,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",287,1
tieba,gender,各个国家法律的利女倾向都很严重啊,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",16,1
tieba,race,黑蛆经济来源分为寄声，帮派，䓯品，奖学金。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",21,1
zhihu,race,是暂时管不了，但是这是普通民众朴素的愿望，不想眼看着搞出一堆混血引发社会问题才开始亡羊补牢。我们自己的问题已经够多了，不需要再制造新的种族入侵问题,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",73,1
zhihu,race,我大学也没见过学生找黑人的，很多黑人的对象是社会上的ji婆,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",29,2
tieba,gender,男人们联合起来,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
